unixtime,Price
1660690800,0.48388
1660694400,0.47213
1660698000,0.45922
1660701600,0.46342
1660705200,0.48964
1660708800,0.54774
1660712400,0.59704
1660716000,0.61633
1660719600,0.5751
1660723200,0.54997
1660726800,0.52689
1660730400,0.50909
1660734000,0.5
1660737600,0.49309
1660741200,0.50947
1660744800,0.5416
1660748400,0.5933
1660752000,0.67604
1660755600,0.74793
1660759200,0.681
1660762800,0.62909
1660766400,0.55203
1660770000,0.50892
1660773600,0.52392
1660777200,0.4799
1660780800,0.48
1660784400,0.47446
1660788000,0.47813
1660791600,0.49924
1660795200,0.55
1660798800,0.5989
1660802400,0.6201
1660806000,0.61359
1660809600,0.61019
1660813200,0.57765
1660816800,0.55987
1660820400,0.56311
1660824000,0.54334
1660827600,0.5419
1660831200,0.58623
1660834800,0.59397
1660838400,0.64299
1660842000,0.65798
1660845600,0.64696
1660849200,0.60006
1660852800,0.56282
1660856400,0.52493
1660860000,0.51009
1660863600,0.46763
1660867200,0.4501
1660870800,0.43414
1660874400,0.43939
1660878000,0.46962
1660881600,0.52821
1660885200,0.57124
1660888800,0.58756
1660892400,0.575
1660896000,0.566
1660899600,0.54726
1660903200,0.5278
1660906800,0.48824
1660910400,0.46114
1660914000,0.46117
1660917600,0.49086
1660921200,0.51742
1660924800,0.54556
1660928400,0.56899
1660932000,0.5694
1660935600,0.55
1660939200,0.53058
1660942800,0.50493
1660946400,0.51209
1660950000,0.50005
1660953600,0.48009
1660957200,0.46004
1660960800,0.45261
1660964400,0.45215
1660968000,0.47169
1660971600,0.47503
1660975200,0.48493
1660978800,0.48002
1660982400,0.4645
1660986000,0.44319
1660989600,0.43248
1660993200,0.36468
1660996800,0.34413
1661000400,0.33928
1661004000,0.36123
1661007600,0.40256
1661011200,0.47506
1661014800,0.52991
1661018400,0.55248
1661022000,0.54009
1661025600,0.51412
1661029200,0.45896
1661032800,0.43027
1661036400,0.381
1661040000,0.37494
1661043600,0.34427
1661047200,0.323
1661050800,0.32407
1661054400,0.36599
1661058000,0.34835
1661061600,0.332
1661065200,0.31726
1661068800,0.25452
1661072400,0.17688
1661076000,0.09731
1661079600,0.07746
1661083200,0.09734
1661086800,0.20421
1661090400,0.31388
1661094000,0.455
1661097600,0.53
1661101200,0.592
1661104800,0.62389
1661108400,0.60996
1661112000,0.59546
1661115600,0.57011
1661119200,0.50425
1661122800,0.47742
1661126400,0.46794
1661130000,0.44793
1661133600,0.45002
1661137200,0.49708
1661140800,0.56174
1661144400,0.5999
1661148000,0.61
1661151600,0.59559
1661155200,0.58346
1661158800,0.5675
1661162400,0.5343
1661166000,0.54091
1661169600,0.55706
1661173200,0.5772
1661176800,0.58667
1661180400,0.61355
1661184000,0.64
1661187600,0.67555
1661191200,0.67997
1661194800,0.62963
1661198400,0.58886
1661202000,0.545
1661205600,0.55
1661209200,0.50473
1661212800,0.507
1661216400,0.50057
1661220000,0.50332
1661223600,0.53102
1661227200,0.62795
1661230800,0.66821
1661234400,0.68
1661238000,0.6401
1661241600,0.61401
1661245200,0.5514
1661248800,0.51871
1661252400,0.51846
1661256000,0.54981
1661259600,0.57278
1661263200,0.60443
1661266800,0.64815
1661270400,0.71365
1661274000,0.79495
1661277600,0.771
1661281200,0.70883
1661284800,0.644
1661288400,0.59999
1661292000,0.5818
1661295600,0.55
1661299200,0.55019
1661302800,0.53598
1661306400,0.53901
1661310000,0.57418
1661313600,0.648
1661317200,0.68325
1661320800,0.69426
1661324400,0.64992
1661328000,0.58806
1661331600,0.57689
1661335200,0.51612
1661338800,0.54197
1661342400,0.54511
1661346000,0.57734
1661349600,0.61348
1661353200,0.67233
1661356800,0.75
1661360400,0.85
1661364000,0.78356
1661367600,0.72496
1661371200,0.65937
1661374800,0.57842
1661378400,0.5352
1661382000,0.52292
1661385600,0.52007
1661389200,0.51306
1661392800,0.5186
1661396400,0.53007
1661400000,0.60661
1661403600,0.66824
1661407200,0.68987
1661410800,0.63934
1661414400,0.57699
1661418000,0.53504
1661421600,0.50588
1661425200,0.50419
1661428800,0.50259
1661432400,0.52496
1661436000,0.56435
1661439600,0.6868
1661443200,0.71423
1661446800,0.76679
1661450400,0.76
1661454000,0.71
1661457600,0.6734
1661461200,0.62673
1661464800,0.60715
1661468400,0.58007
1661472000,0.57253
1661475600,0.57104
1661479200,0.56921
1661482800,0.59899
1661486400,0.75
1661490000,0.76923
1661493600,0.80299
1661497200,0.78162
1661500800,0.7632
1661504400,0.75003
1661508000,0.70233
1661511600,0.67688
1661515200,0.64355
1661518800,0.66593
1661522400,0.68556
1661526000,0.75001
1661529600,0.77
1661533200,0.78
1661536800,0.77854
1661540400,0.77
1661544000,0.74774
1661547600,0.7
1661551200,0.68514
1661554800,0.6442
1661558400,0.6368
1661562000,0.5879
1661565600,0.56347
1661569200,0.5731
1661572800,0.5809
1661576400,0.636
1661580000,0.68259
1661583600,0.68595
1661587200,0.66075
1661590800,0.60184
1661594400,0.57803
1661598000,0.48882
1661601600,0.50016
1661605200,0.46173
1661608800,0.48919
1661612400,0.55467
1661616000,0.66991
1661619600,0.70462
1661623200,0.70006
1661626800,0.66598
1661630400,0.65994
1661634000,0.57639
1661637600,0.58503
1661641200,0.4914
1661644800,0.4677
1661648400,0.43
1661652000,0.42597
1661655600,0.40992
1661659200,0.42729
1661662800,0.44191
1661666400,0.46745
1661670000,0.43762
1661673600,0.27509
1661677200,0.25688
1661680800,0.11598
1661684400,0.0758
1661688000,0.01329
1661691600,0.06216
1661695200,0.10592
1661698800,0.3362
1661702400,0.57924
1661706000,0.6764
1661709600,0.70075
1661713200,0.64606
1661716800,0.6067
1661720400,0.59003
1661724000,0.59085
1661727600,0.54414
1661731200,0.5233
1661734800,0.52103
1661738400,0.51607
1661742000,0.58236
1661745600,0.69675
1661749200,0.76992
1661752800,0.79399
1661756400,0.66806
1661760000,0.66136
1661763600,0.57427
1661767200,0.54877
1661770800,0.55342
1661774400,0.54157
1661778000,0.54841
1661781600,0.64573
1661785200,0.77391
1661788800,0.83766
1661792400,0.871
1661796000,0.86089
1661799600,0.8
1661803200,0.76248
1661806800,0.61591
1661810400,0.61749
1661814000,0.59507
1661817600,0.58501
1661821200,0.58496
1661824800,0.59499
1661828400,0.61255
1661832000,0.7633
1661835600,0.77806
1661839200,0.79131
1661842800,0.75995
1661846400,0.66479
1661850000,0.58026
1661853600,0.56934
1661857200,0.57195
1661860800,0.55398
1661864400,0.5813
1661868000,0.57389
1661871600,0.74677
1661875200,0.79371
1661878800,0.85546
1661882400,0.76599
1661886000,0.705
1661889600,0.62674
1661893200,0.5738
1661896800,0.53148
1661900400,0.52331
1661904000,0.54187
1661907600,0.49816
1661911200,0.54183
1661914800,0.54326
1661918400,0.64999
1661922000,0.72446
1661925600,0.73697
1661929200,0.69772
1661932800,0.63331
1661936400,0.64483
1661940000,0.55293
1661943600,0.52908
1661947200,0.49698
1661950800,0.51964
1661954400,0.54181
1661958000,0.64174
